current_name;replacement_name;site
ba01;bau01;bauges
ba02;bau02;bauges
ba03;bau03;bauges
ba05;bau05;bauges
ba10;bau10;bauges
ba13;bau13;bauges
ba22;bau22;bauges
ba23;bau23;bauges
ba24;bau24;bauges
ba25;bau25;bauges
ba26;bau26;bauges
HAB_M21;baulife21;bauges
HAB_M22;baulife22;bauges
HAB_M23;baulife23;bauges
HAB_M24;baulife24;bauges
HAB_M26;baulife26;bauges
HAB_M27;baulife27;bauges
HAB_M30;baulife30;bauges
bel_for_01;bel01;belledonne
bel_for_02;bel02;belledonne
bel_for_03;bel03;belledonne
bel_for_05;bel05;belledonne
bel_for_06;bel06;belledonne
bel_for_07;bel07;belledonne
bel_for_08;bel08;belledonne
bel_land_09;bel09;belledonne
bel_land_10;bel10;belledonne
bel_land_11;bel11;belledonne
bel_land_15;bel15;belledonne
bel_land_17;bel17;belledonne
bel_land_20;bel20;belledonne
bel_pel_04;bel04;belledonne
bel_pel_12;bel12;belledonne
bel_pel_13;bel13;belledonne
bel_pel_14;bel14;belledonne
bel_pel_16;bel16;belledonne
bel_pel_18;bel18;belledonne
bel_pel_19;bel19;belledonne
bel_pel_21;bel21;belledonne
bel_pel_22;bel22;belledonne
bel_pel_23;bel23;belledonne
